condition 1 time (s),condition 1 tbr,condition 1 nai,condition 2 time (s),condition 2 tbr,condition 2 nai
4.0,22.42798075661298,0.0,4.0,27.17694470785375,0.0
5.0,20.64583737261107,0.0,5.0,17.30932960497715,0.0
6.0,12.606781352456514,0.0,6.0,8.862590727455396,0.0
7.0,8.676444750652017,0.0,7.0,6.608369053812078,0.0
8.0,8.168184838474213,0.0,8.0,6.2192572478063335,0.0
9.0,8.034755134903897,0.0,9.0,4.908822660046064,0.0
10.0,6.253949063419197,0.0,10.0,3.750460215921475,0.0
11.0,4.669372043345314,0.0,11.0,3.1449840482271534,0.0
12.0,3.5117571119869258,0.0,12.0,2.9290894258415543,0.0274201853759011
13.0,2.985935736731781,0.0,13.0,3.701899306784483,0.0
14.0,2.8130405142201074,0.10181943014074832,14.0,3.7266509854443832,0.0
15.0,2.6163961525801858,0.29454170957775483,15.0,3.487655277902352,0.0
16.0,2.7017523448984817,0.1981204943357363,16.0,3.7546948500728194,0.0
17.0,2.5060660641826193,0.460650532097494,17.0,3.417056141384296,0.0
18.0,2.3818410305746682,0.6459835221421215,18.0,2.895837890580441,0.04267507723995878
19.0,2.63264780679925,0.27501716443529,19.0,2.9348530142391835,0.021240988671472675
20.0,2.4649275635932373,0.5237298317885342,20.0,3.0007816184862945,0.000193099897013375
21.0,2.4007723512684223,0.6249570889117748,21.0,2.8653677273349496,0.047888774459320244
22.0,2.2537808910602997,0.8413362512873327,22.0,3.042201319840574,0.00386199794026775
23.0,2.602254913226924,0.3590799862684517,23.0,3.005365388013797,0.0227857878475798
24.0,3.179968432175055,0.0,24.0,2.2944872107789926,0.7111225540679711
25.0,2.697578201115195,0.27218503261242705,25.0,1.6657671057137002,1.0
26.0,2.1537715303820217,0.9385942327497424,26.0,1.6413065845947103,1.0
27.0,1.9820198265745852,1.0,27.0,1.735451299747672,1.0
28.0,1.812450299937182,1.0,28.0,1.7809863433581987,1.0
29.0,1.9194978928661452,1.0,29.0,1.8607610866347293,1.0
30.0,2.002344938265801,0.9967173017507724,30.0,2.379066415069982,0.6373583934088569
31.0,2.4388931152255298,0.5579728801922417,31.0,2.60718090715843,0.30295228286989356
32.0,2.3991781625768516,0.6210521798832819,32.0,2.466212985559481,0.5216271884654995
33.0,2.2037083965335684,0.8924433573635426,33.0,2.20931157763523,0.8756436663233779
34.0,2.1662226152538135,0.9293254376930998,34.0,2.1439196415487354,0.9492147270854788
35.0,2.5261275134031056,0.4732020254033642,35.0,2.104664658680203,0.9640834191555097
36.0,3.6796900223940616,0.0,36.0,1.9063629605624481,1.0
37.0,4.004489558558742,0.0,37.0,2.061524741951752,0.9616889804325437
38.0,3.5567814008340393,0.0,38.0,2.480250356787854,0.49699622382423614
39.0,2.7736322304026872,0.19728801922416747,39.0,2.554531333770565,0.3801493305870236
40.0,2.4877165063826387,0.49188980432543766,40.0,3.3691583028537635,0.013903192584963925
41.0,2.742430843567285,0.15926450394782007,41.0,3.8652895048785325,0.0
42.0,2.880977003969014,0.03939237899073117,42.0,3.1590241047166563,0.0
43.0,2.4513711326403493,0.5429110882251974,43.0,3.054486012189004,0.0028964984552008
44.0,1.8738444933483653,1.0,44.0,3.483650773063162,0.0
45.0,1.6562605119045148,1.0,45.0,3.188716126200075,0.0
46.0,1.811089561892205,1.0,46.0,2.7948500257259647,0.10950909715070367
47.0,1.9625789600891135,1.0,47.0,2.5011958720974414,0.4660573292138689
48.0,1.8594372512694137,1.0,48.0,2.293681969824167,0.7850583590799863
49.0,2.03377540571575,0.9843589083419155,49.0,2.343037207932003,0.7072605561277034
50.0,2.1408753654793555,0.9366632337796086,50.0,2.4684200267929373,0.5207260556127704
51.0,1.6811341434612541,1.0,51.0,2.9600679565441332,0.0484251630621352
52.0,1.4480880702976915,1.0,52.0,3.0641312829139538,0.000965499485066925
53.0,1.7435983383318607,1.0,53.0,2.7392236064190767,0.16250429110882247
54.0,2.309724833110781,0.7142979745966357,54.0,2.493765247684276,0.481076210092688
55.0,2.706952733234962,0.19331445245451417,55.0,2.452455101375742,0.5474596635770683
56.0,2.7654461918114706,0.1419927909371781,56.0,2.5385750721895084,0.4035787847579814
57.0,3.2819570292926348,0.0,57.0,2.3276788015866208,0.7295957775489186
58.0,3.1563556845090646,0.01699279093717815,58.0,2.08909522122769,0.9880278063851698
59.0,2.3697962539649575,0.660122725712324,59.0,2.120209871161724,0.9702626158599381
60.0,2.288731438422508,0.7734294541709578,60.0,2.2570331574980322,0.825008582217645
61.0,2.841948098535103,0.09582046000686571,61.0,2.716579867414821,0.2399373498111912
62.0,3.0299409792118537,0.0,62.0,3.418569221427385,0.0
63.0,2.684629365502837,0.23968417439066245,63.0,2.8514242966770875,0.1442670786131136
64.0,2.1759573302263964,0.8765018880878819,64.0,2.683742639937447,0.29825351870923444
65.0,1.900467596589798,1.0,65.0,3.982362867016146,0.0
66.0,2.364804644014649,0.6580629934775146,66.0,4.228411447584928,0.0
67.0,2.6670709146945875,0.23656882938551316,67.0,3.764041450314443,0.0
68.0,2.4424558632097337,0.5540679711637487,68.0,4.235150873880152,0.0
69.0,2.2423229300420027,0.8529437006522486,69.0,4.19180550200058,0.0
70.0,2.2027402450272895,0.8922502574665293,70.0,3.1022312341950067,0.028192584963954676
71.0,2.2381723561855926,0.855110710607621,71.0,2.4773031665083733,0.5036045314109165
72.0,2.0818487523373017,0.9907312049433573,72.0,2.3120845084852206,0.750214555441126
73.0,1.955930465155451,1.0,73.0,2.336066898806438,0.7135684860968073
74.0,1.85718623676432,1.0,74.0,2.2638123911638592,0.8273901476141434
75.0,1.9422796828497226,1.0,75.0,2.15866447994179,0.9370494335736353
76.0,1.9027455804515205,1.0,76.0,2.4873793866757903,0.5045271198077583
77.0,1.9007262033156853,1.0,77.0,3.231887211962831,0.0
78.0,1.9118854179315545,1.0,78.0,2.9858831692167525,0.014675592173017475
79.0,2.033176484480957,0.9907312049433573,79.0,3.0372721040993014,0.0048274974253347
80.0,2.3212945243948435,0.7389074836937864,80.0,2.834072545152482,0.13913920357020249
81.0,2.4996601127471934,0.4687607277720563,81.0,2.1408154784956452,0.9054883281840027
82.0,2.3475060251252438,0.7019824922760041,82.0,1.9637587999917316,1.0
83.0,2.1012273794119034,0.9762487126673531,83.0,2.4516590744135147,0.5415593889461037
84.0,2.0640802336834665,1.0,84.0,2.700222762984998,0.20989958805355297
85.0,2.048372263365334,1.0,85.0,2.0805244130282055,0.927823549605218
86.0,2.0229286422416073,0.995558702368692,86.0,2.183875536255821,0.8701081359423274
87.0,2.5204604063711025,0.4524545142464813,87.0,2.508201817187514,0.45193958118777894
88.0,2.688072979179311,0.21539220734637823,88.0,2.362957746328302,0.6778235496052181
89.0,2.5398421959637654,0.3969704771713011,89.0,2.455415979074649,0.5429539993134226
90.0,2.471789945517643,0.5129162375557844,90.0,3.010983067881416,0.01216529351184345
91.0,2.361781145422334,0.6826295914864401,91.0,2.7558412456494668,0.16516477857878473
92.0,2.45455525895838,0.5411517336079643,92.0,2.4563399505573806,0.5426536216958462
93.0,2.3939215810966163,0.6351699279093718,93.0,2.4740955322163205,0.5120151047030552
94.0,2.203047579176266,0.8918640576725025,94.0,2.124465478439988,0.8949107449364916
95.0,2.4740732093813262,0.5141177480260899,95.0,1.6564159364016109,1.0
96.0,2.690713873777313,0.21446961894953648,96.0,1.940144828880653,0.9523472365259184
97.0,2.177413696449727,0.8894610367318915,97.0,3.0325327698485958,0.09215156196361136
98.0,2.1463068332499917,0.9282741160315826,98.0,3.741574828479929,0.0
99.0,2.555016444652337,0.3879591486440096,99.0,3.414693462579967,0.0
100.0,2.6536902715842157,0.25489186405767245,100.0,2.848652157694854,0.09032784071404049
101.0,2.37699649111595,0.6561534500514934,101.0,2.5302854584643653,0.421301064194988
102.0,1.9719938573953577,0.9916967044284243,102.0,2.43398649466054,0.5756951596292481
103.0,1.778295902949578,1.0,103.0,2.4432684975756684,0.5552694816340542
104.0,1.9878134735718989,0.983586508753862,104.0,2.61034683226357,0.30054926192928244
105.0,2.60573372036565,0.33878304153793337,105.0,2.836382813603704,0.11856333676622037
106.0,2.7395057484550707,0.16784672159285952,106.0,3.555748742256563,0.0
107.0,2.337222812872505,0.7174948506694131,107.0,3.5397850904559323,0.0
108.0,2.145495259868106,0.9474768280123583,108.0,3.372450762700582,0.0
109.0,2.0390049311263816,1.0,109.0,3.072851663746889,0.021627188465499474
110.0,2.1117413243008745,0.9774073120494335,110.0,2.284392914564756,0.7424991417782355
111.0,2.0438185024742053,0.9918125643666323,111.0,1.732496512474465,1.0
112.0,1.8345278481285507,1.0,112.0,1.3112670583523067,1.0
113.0,1.6760646148048288,1.0,113.0,1.3782721382612184,1.0
114.0,1.597099723273491,1.0,114.0,1.8764497928312975,1.0
115.0,1.7942876427381043,1.0,115.0,2.0072714007895804,1.0
116.0,1.9076511549304027,1.0,116.0,2.2422325934178153,0.8205887401304497
117.0,1.8874849587528175,1.0,117.0,2.878755719012795,0.10279351184346033
118.0,1.9368241382208171,1.0,118.0,3.3516089900957082,0.0
