condition 1 time (s),condition 1 tbr,condition 1 nai,condition 2 time (s),condition 2 tbr,condition 2 nai
4.0,33.50211021410845,0.0,4.0,30.402053172045594,0.0
5.0,25.65866879734324,0.0,5.0,20.619724249451046,0.0
6.0,14.401245902975568,0.0,6.0,10.755933842180184,0.0
7.0,11.99943120917832,0.0,7.0,9.007111405395154,0.0
8.0,9.88473880755634,0.0,8.0,7.891236024961724,0.0
9.0,6.6971965654411445,0.0,9.0,5.760423527757428,0.0
10.0,4.373870734504127,0.0,10.0,3.9396817473521164,0.0
11.0,3.1113891006656287,0.0,11.0,2.8726394658762002,0.004002134471718225
12.0,2.8140146885754036,0.0,12.0,2.0592086486844408,0.2203842049092849
13.0,2.6623670951356857,0.0011205976520811001,13.0,1.3984504074807071,0.7326396300249022
14.0,2.697774778562286,0.0,14.0,1.3681094251872028,0.7656083244397013
15.0,2.5176973957197832,0.031216648879402276,15.0,1.732312967184109,0.4041266453219494
16.0,2.2440693371640283,0.12315457132692985,16.0,1.7599919467764584,0.38202596940590533
17.0,1.8674552716732606,0.31852543578797576,17.0,1.6345076451698661,0.48350231234436136
18.0,1.4880265603777458,0.6114372109569548,18.0,1.2992920643408525,0.8420713269299183
19.0,1.5391605697056823,0.5625667022411953,19.0,1.0446232767534147,1.0
20.0,1.840023759704991,0.3331554606901458,20.0,1.031490899207389,1.0
21.0,2.0734021336592012,0.2089558875844895,21.0,1.1303990580019179,0.9955976520811098
22.0,1.8461048846148354,0.3231945926716471,22.0,1.3817838598770713,0.7513118107435076
23.0,1.8064654492814889,0.3440501600853788,23.0,1.8284371545662228,0.3403148345784418
24.0,1.6495400539346945,0.47229633582355024,24.0,2.007961175558207,0.23977232301672
25.0,1.5078783507475597,0.5871575951618642,25.0,1.945350888402634,0.26249555318392026
26.0,1.3802523081435538,0.7448639274279616,26.0,1.8057581852800668,0.3449839914621131
27.0,1.1650404243497063,0.9917956243329776,27.0,1.697833908324693,0.4318303094983991
28.0,1.237126159131356,0.9311632870864461,28.0,1.4509816894359175,0.6578175026680897
29.0,1.2375014810852538,0.9297625400213447,29.0,1.2920559202805593,0.8723986125933831
30.0,1.2723572466506796,0.8874288509427251,30.0,1.599753686665899,0.5211668445393098
31.0,1.445823445343771,0.6522145144076842,31.0,1.7768505984591412,0.36957488438278185
32.0,1.473725334663721,0.6198416933475631,32.0,1.3578978847902576,0.777725898256848
33.0,1.5519036833740234,0.5494930629669157,33.0,1.0010726078314733,1.0
34.0,1.8727804666601355,0.3203930985414443,34.0,0.8615607153362514,1.0
35.0,2.2667267220305436,0.1094583778014941,35.0,1.1109327735956454,0.977187833511206
36.0,1.8813511490915455,0.3138562789043045,36.0,1.4040161030651994,0.7063767342582712
37.0,1.5914701985203976,0.5173070081821416,37.0,1.421275092470668,0.6861437210956955
38.0,1.409980255731041,0.7054429028815369,38.0,1.4002326603343533,0.7100498043400925
39.0,1.2031565445666734,0.9589781216648878,39.0,1.23641204712642,0.9293623265741728
40.0,1.0705790242820692,1.0,40.0,1.078865434673231,1.0
41.0,1.0674495768702124,1.0,41.0,1.0047301003970976,1.0
42.0,1.312715814755097,0.8279526858769121,42.0,0.8815573042571682,1.0
43.0,1.4651633314597052,0.6298025613660618,43.0,0.8557635399658041,1.0
44.0,1.3761890217615955,0.7427961579509071,44.0,0.8167999349636164,1.0
45.0,1.2574688994245584,0.9070393098541445,45.0,0.8334437460478485,1.0
46.0,1.0190487544326468,1.0,46.0,1.2631958552892195,0.8557230522945571
47.0,0.9388176726412775,1.0,47.0,1.663313013773617,0.45797758804695843
48.0,1.165037194176804,0.9697838847385272,48.0,1.9504822073876817,0.2596940590537175
49.0,1.34943838955104,0.7850631447883316,49.0,1.644311374806041,0.47789932408395586
50.0,1.376744467025656,0.7368818925649236,50.0,1.3371981851345418,0.8088536108146567
51.0,1.4878917983330808,0.6123710423336891,51.0,1.334129931830525,0.8100097829953753
52.0,1.5888171777631293,0.5174315190323728,52.0,1.4133886971463956,0.6942369263607258
53.0,1.4857822210748102,0.6077018854500178,53.0,1.4040546851845546,0.7045090715048027
54.0,1.70413517627679,0.4284062611170402,54.0,1.3812999490640259,0.7343916755602988
55.0,1.7931299417589615,0.35494485948061183,55.0,1.509908730205045,0.5834222696549272
56.0,1.6272513771205865,0.48910530060476687,56.0,1.4702912558405625,0.6270010672358591
57.0,1.43729451435239,0.6637317680540733,57.0,1.3641635924801951,0.7614727854855924
58.0,1.341904681365727,0.7951351832088225,58.0,1.2141079538297457,0.9463713980789754
59.0,1.1367959431298955,0.9869930629669157,59.0,1.0243684473470254,1.0
60.0,0.9936822726722883,1.0,60.0,0.9814299024400215,1.0
61.0,1.0437661062011343,1.0,61.0,0.9541689573512668,1.0
62.0,1.316750196224488,0.827285663464959,62.0,0.9286494805929415,1.0
63.0,1.2030235260137778,0.9507737459978656,63.0,1.264879100951493,0.8825151191746708
64.0,1.032953828639522,1.0,64.0,1.4277321701590084,0.6724475275702597
65.0,0.9963591450425398,1.0,65.0,1.4233368848790986,0.6802294557097119
66.0,0.9112443056608599,1.0,66.0,1.2082000419990493,0.9483724653148345
67.0,0.9359687428753458,1.0,67.0,1.1053661238581851,1.0
68.0,0.9679778633495576,1.0,68.0,1.4871742453039338,0.6428984347207398
69.0,1.067710508832625,1.0,69.0,1.9287581769706903,0.2733902525791533
70.0,1.1134114749218988,1.0,70.0,2.100693781387243,0.1943258626823194
71.0,1.1438747948929644,1.0,71.0,2.1008207103959995,0.19074617573817143
72.0,1.1815380698537927,0.9869930629669156,72.0,1.596211622323163,0.5270811099252936
73.0,1.0647023126621418,1.0,73.0,1.1538478007720363,0.97258537886873
74.0,0.9394835733404657,1.0,74.0,1.2163536060303932,0.9018143009605123
75.0,1.334114317802696,0.7879980434009249,75.0,1.6931125444118085,0.43556563500533624
76.0,1.5707052081559705,0.532995375311277,76.0,1.4814051458664688,0.6482346140163643
77.0,1.2990463853372494,0.8495197438633938,77.0,1.0401716893936241,1.0
78.0,1.166951395009872,0.9967982924226254,78.0,1.0328043917842051,1.0
79.0,1.2306159487190569,0.9361659551760939,79.0,1.1606385538310489,0.9901947705442903
80.0,1.3630249984108551,0.7617840626111705,80.0,1.4625261302420929,0.6656438989683386
81.0,1.4027196168978737,0.7045090715048026,81.0,1.9583334190252963,0.26249555318392026
82.0,1.3835444756460236,0.7269210245464248,82.0,1.9264328683639642,0.2746353610814657
83.0,1.4701030540002258,0.6347829953753114,83.0,1.7762914330508468,0.37050871575951616
84.0,1.8292184733838797,0.3331554606901458,84.0,1.8370185802601375,0.3259960868018499
85.0,1.9095033948903426,0.2761917467093561,85.0,2.1182397636825643,0.1831198861615083
86.0,2.067374930085888,0.20852009960868015,86.0,2.1217779463721147,0.1824973319103521
87.0,1.9470549697744535,0.2677872643187478,87.0,2.0743315898107917,0.20926716471006754
88.0,1.6244277617933192,0.4909729633582355,88.0,2.001854648733354,0.24101743151903232
89.0,1.3810890059269645,0.7419734969761651,89.0,1.7763053003680866,0.3720651013874066
90.0,1.3324279245821422,0.8112104233368908,90.0,1.5431877873288156,0.5569637139807897
91.0,1.2688511271948943,0.8899190679473497,91.0,1.423322493348643,0.6927917111348275
92.0,1.082044901205191,1.0,92.0,1.1732764852703967,0.9823906083244396
93.0,1.095888963150172,1.0,93.0,1.3424661430006608,0.7924448594806118
94.0,1.2884310645418264,0.8637050871575951,94.0,1.7464494813654396,0.395410885805763
95.0,1.3939160060706266,0.7138473852721452,95.0,1.8798684823371745,0.3001600853788687
96.0,1.499623107860727,0.5992974030594095,96.0,1.4724514290042614,0.6484791889007471
97.0,1.5950198269692406,0.5121398078975453,97.0,1.4829142273395788,0.646989505514052
98.0,1.6749154038314744,0.45361970828886516,98.0,2.2187463648040193,0.13978566346495905
99.0,1.7361172533511509,0.4007025969405905,99.0,2.4215470602650364,0.05843116328708638
100.0,1.7031525947424528,0.4299626467449306,100.0,2.00867703307308,0.23341337602276768
101.0,1.5367147065410647,0.5656794734969762,101.0,1.8167574545840397,0.3359569548203486
102.0,1.246981851783598,0.8988794023479187,102.0,1.7305552252573944,0.40786197082888653
103.0,1.088179612905886,1.0,103.0,1.6106848476030764,0.5021789398790466
104.0,1.1798419884902784,0.9839914621131269,104.0,1.4288684054192138,0.6802294557097119
105.0,1.080200399856182,1.0,105.0,1.3241077491894944,0.8297314123087869
106.0,0.922413909602741,1.0,106.0,1.6936208052566508,0.4371220206332266
107.0,0.9295151622088638,1.0,107.0,1.9302714308649558,0.27058875844895053
108.0,1.0204941218158194,1.0,108.0,1.6511661328984228,0.4701173959445038
109.0,1.041519046777216,1.0,109.0,1.598317031478175,0.5096495908929206
110.0,1.1010877599498354,1.0,110.0,1.5760733392264978,0.5312522234080399
111.0,1.0114042942324375,1.0,111.0,1.80385151930592,0.35650124510850223
112.0,0.9053519634740897,1.0,112.0,2.0157591886907373,0.2351031661330487
113.0,1.0370969774698349,1.0,113.0,1.839556770869324,0.32194948416933467
114.0,1.3193490252731508,0.8216604411241551,114.0,1.7849465684069483,0.36179295624332974
115.0,1.3517662537247537,0.7813722874421913,115.0,2.07224139991263,0.20584311632870853
116.0,1.2745666071250636,0.8955442902881536,116.0,1.9743279796011217,0.25627001067235855
117.0,1.358710723404622,0.7718338669512629,117.0,1.4878129734208076,0.6217093561010317
118.0,1.4368563092435371,0.6615528281750267,118.0,1.3915253379492203,0.720072927783707
119.0,1.4828864575582963,0.6114372109569548,119.0,1.6577338301570066,0.463891853432942
120.0,1.3900252137250957,0.7234969761650658,120.0,1.8547090956053092,0.31012095339736745
121.0,1.363262382474229,0.7617840626111705,121.0,2.197100610500139,0.1482123799359658
122.0,1.4689603372627176,0.6276236214870153,122.0,2.418776188570134,0.059631803628601876
123.0,1.6017615268517544,0.5102721451440768,123.0,2.2322173965470347,0.12608946993952325
124.0,1.8047522425778186,0.3508982568480968,124.0,2.144028801710405,0.17098007826396297
125.0,2.1235488416691894,0.18022945570971177,125.0,1.9797267711329058,0.24973319103521868
126.0,2.271310329962721,0.10725720384204905,126.0,1.718760903973968,0.41751156172180715
127.0,2.4663217664874137,0.045424226254002074,127.0,1.8119103989822376,0.344672714336535
128.0,2.6136191672618283,0.00660352187833505,128.0,1.9740490808958457,0.2525346851654215
129.0,2.4377326690608,0.053828708644610423,129.0,1.8035452114932393,0.3508982568480967
130.0,1.8630058159874225,0.3256848096762717,130.0,1.488501156061719,0.6145499822127357
131.0,1.4301866569514836,0.6864549982212735,131.0,1.1826293293179926,0.9617796157950906
132.0,1.2419739151887716,0.9237593383137673,132.0,1.0235900006449608,1.0
133.0,1.3279624718828642,0.8139096406972607,133.0,1.0777247409893653,1.0
134.0,1.5503237632164497,0.5519832799715403,134.0,1.2255673903685786,0.9395677694770543
135.0,1.6612569344346098,0.4632692991817858,135.0,1.2710642453615608,0.8967449306296691
136.0,1.6223576058716693,0.4950195659907506,136.0,1.1943112183136582,0.9661819637139808
137.0,1.4404928244657738,0.6603077196727144,137.0,1.1176985885809563,1.0
138.0,1.5176099518942294,0.5790643898968338,138.0,1.0916733162848613,1.0
139.0,1.3374680364023637,0.7970917822838848,139.0,1.1718979312655315,0.9637806830309499
140.0,0.9886103616615828,1.0,140.0,1.6820827298815653,0.4614016364283173
141.0,0.9171655752530092,1.0,141.0,2.3325591022953773,0.09362771255780855
142.0,1.1640173568932908,0.965581643543223,142.0,2.311319698401166,0.09525080042689425
143.0,1.279668491524879,0.887940234791889,143.0,2.280244838981441,0.1068569903948772
144.0,1.2687803648672404,0.8985458911419423,144.0,2.227139682502741,0.13493863393810027
145.0,1.4370211543050568,0.6674670935610103,145.0,1.6841875924456702,0.44147990039131985
146.0,1.5045092886147255,0.5884027036641765,146.0,1.5603858488688687,0.5448239060832443
147.0,1.3269048123582698,0.8183475631447883,147.0,1.5421494779759668,0.5594539309854144
148.0,1.2413620764784694,0.9257604055496264,148.0,2.434580428914356,0.10872465314834574
149.0,1.1244676230238313,0.9949973319103522,149.0,3.4415445042566777,0.0
150.0,1.0575654819101241,1.0,150.0,2.666310375017539,0.03301760939167555
151.0,1.2433372479236933,0.9182008182141588,151.0,1.9289090659621433,0.27805940946282454
152.0,1.4179187869130807,0.6864549982212736,152.0,1.6126551250311583,0.5028014941302028
153.0,1.3696314663141185,0.7576929918178584,153.0,1.3328109266889556,0.8032506225542512
154.0,1.3072923761678885,0.8538553895410885,154.0,1.0813442092417227,1.0
155.0,1.522798150822272,0.5877801494130203,155.0,1.091847082960805,0.9979989327641409
156.0,1.8403762215783996,0.31914799003913197,156.0,1.3083260514479496,0.841604411241551
157.0,1.5545119857833634,0.5585200996086802,157.0,1.3298662813150741,0.8190368196371398
158.0,1.3349360850777825,0.8094272500889363,158.0,1.2458891097171256,0.9213980789754534
