subject,Q1,Q3,IQR_width,midpoint
S4,0.4710308863785272,0.830634606744309,0.3596037203657818,0.6508327465614181
S6,2.0903850430849675,2.9446767103717786,0.854291667286811,2.5175308767283733
S8,2.0813136555437364,3.143030568201488,1.0617169126577517,2.6121721118726122
S9,2.3801083844691897,3.350265683820237,0.9701572993510474,2.8651870341447134
S10,1.2771447253125476,1.7999531948203955,0.5228084695078479,1.5385489600664717
S11,0.9773229093834611,1.5190873422237465,0.5417644328402854,1.2482051258036038
S12,1.0251319580782554,1.5269376916009723,0.5018057335227168,1.2760348248396138
S13,0.40577940767345866,0.7365206085659218,0.33074120089246317,0.5711500081196903
S14,2.5511936487832774,3.9051964138287487,1.3540027650454713,3.2281950313060133
S15,1.2936083999900614,1.7688541200530683,0.4752457200630069,1.5312312600215647
S16,0.6994025768976726,1.0972157323119245,0.3978131554142519,0.8983091546047985
S17,1.9491220434201997,2.752040197871819,0.8029181544516193,2.350581120646009
S18,1.4769688645587176,2.284917374063287,0.8079485095045695,1.8809431193110022
S19,0.9206984816656991,2.2941303048860413,1.3734318232203422,1.6074143932758702
S20,1.2688650131825976,1.6872489658538852,0.4183839526712876,1.4780569895182414
S21,1.1675234369684462,2.6417493922025814,1.4742259552341352,1.904636414585514
S22,2.295169810560246,3.9342217198977583,1.6390519093375122,3.114695765229002
S24,1.3080210744835616,2.092540504772358,0.7845194302887966,1.70028078962796
S25,2.694346107941567,4.98199946407844,2.2876533561368726,3.8381727860100034
S27,3.6282758483422364,5.139433207339529,1.5111573589972926,4.3838545278408825
S28,1.0456617078739048,2.2014204981917365,1.1557587903178317,1.6235411030328206
S29,1.9383118388895424,3.006881370816637,1.0685695319270945,2.4725966048530896
S30,2.010127749950755,3.3431105374728434,1.3329827875220883,2.6766191437117994
S31,0.23790833467378908,0.4263952749045736,0.1884869402307845,0.3321518047891813
S32,1.3034120152829387,1.8884519341413297,0.585039918858391,1.5959319747121343
