calibration time (s),calibration tbr,calibration nai,condition 1 time (s),condition 1 tbr,condition 1 nai,condition 2 time (s),condition 2 tbr,condition 2 nai
2.0124049999999984,81.37708812927912,0.0,2.123789999999995,4.604062092984156,0.0,2.1284310000000013,36.04790634717538,0.0
3.015947,8.20760536660041,0.0,3.084341999999994,8.19430708216454,0.0,3.1823960000000024,28.911062387953862,0.0
4.003854999999999,3.1984877117656803,0.2528248587570622,4.203382999999993,3.5899898430882287,0.0699152542372881,4.001465000000005,3.807857157549628,0.01906779661016952
5.007405000000003,5.929650785832049,0.0,5.222164999999988,7.842197166165209,0.0,5.003810000000005,7.8511020737295825,0.0
6.005426000000004,8.032790670702218,0.0,6.134536999999969,4.036594295051228,0.0,6.015710000000016,8.255160278059417,0.0
7.00217300000001,4.158047453681491,0.0,7.1549589999999625,2.6572818986214664,0.5889830508474576,7.023305000000021,5.510092116531731,0.0
8.000702000000002,3.1478803108083873,0.27259887005649713,8.14606599999997,2.8641559076763112,0.480225988700565,7.99749900000002,4.290355947658768,0.0
8.99971100000001,2.6338910124194235,0.5988700564971752,9.350107000000001,2.648064780487071,0.5988700564971752,8.995841000000038,3.5607365740355226,0.08262711864406781
9.991615000000007,2.415232031187427,0.7867231638418081,10.29689100000007,2.014103057604528,0.9999999999999999,9.993508000000038,2.117916789654005,0.9745762711864406
10.995657000000017,2.398294699267589,0.806497175141243,11.277334000000126,1.4979605971045116,0.9999999999999999,10.998194000000053,1.65379096779864,0.9999999999999999
12.00998200000002,3.1322972974281633,0.27259887005649713,12.398380000000195,1.4497181881633117,0.9999999999999999,11.994104000000064,2.727594463992609,0.5395480225988701
12.995092000000026,3.1526028224836113,0.27259887005649713,13.28596100000026,1.768504132309074,0.9999999999999999,13.005731000000068,2.742958490969682,0.5296610169491525
13.985911000000023,1.8495624214794815,0.9999999999999999,14.288718000000335,2.086919936399979,0.9809322033898304,13.988448000000082,2.656968669555686,0.5988700564971752
14.993086000000021,1.5111129019279195,0.9999999999999999,15.141756000000413,2.483553929228957,0.7175141242937852,14.984505000000082,2.5193485929278387,0.6977401129943503
15.981462000000024,2.4412237925053635,0.7372881355932204,16.32653100000045,0.7677237943967581,0.9999999999999999,16.000863000000095,3.1991708859751116,0.2528248587570622
16.981768000000013,2.145143199210535,0.9555084745762712,17.144430000000497,0.5622819944167682,0.9999999999999999,16.98741200000007,3.5468091617448243,0.10169491525423725
17.982344,1.8830037155895931,0.9999999999999999,18.161826000000488,1.2962673980056312,0.9999999999999999,18.02013900000002,3.0004829772599706,0.3813559322033899
