metric,favor_dir,g1_mean,g1_median,g2_mean,g2_median,diff_g2_minus_g1_mean,p_two_sided,p_g2_smaller,p_g2_larger,p_favor_g2,cliffs_delta_g1_vs_g2,n1,n2
c1_tbr_leQ25_mean_gap_s,g2_smaller,7.692877596703079,7.513497076923866,8.249328666803223,7.060506536231909,0.5564510701001435,0.5316314420218472,0.2658157210109236,0.7517193913593283,0.2658157210109236,0.15384615384615374,13,12
d_tbr_leQ25_total_time_focus_s,g2_larger,3.189614076923729,0.04023100000220836,101.20730400000234,5.867377000002435,98.0176899230786,0.5679151111448195,0.7341842789890765,0.28395755557240976,0.28395755557240976,-0.14102564102564108,13,12
d_tbr_leQ50_mean_gap_s,g2_smaller,1.010970865291923,0.12022990198986516,0.8120273054124809,-1.2501221587300222,-0.198943559879442,0.6401805361005117,0.32009026805025587,0.7034068726991418,0.32009026805025587,0.1282051282051282,13,9
d_tbr_leQ50_mean_sustain_s,g2_larger,-0.16997354908078421,0.7031189395365312,62.92470617215041,2.3258965495098143,63.094679721231195,0.6418381810738645,0.7009544607554914,0.32091909053693224,0.32091909053693224,-0.12307692307692308,13,10
d_tbr_leQ33_total_time_focus_s,g2_larger,-2.097487384615342,-3.234532999994528,78.47392266666799,-1.5590139999976316,80.57141005128334,0.6438382008132897,0.6973283303317466,0.32191910040664484,0.32191910040664484,-0.11538461538461542,13,12
c2_tbr_leQ25_first_reach_s,g2_smaller,116.61797415384855,37.89035799999971,45.58581800000017,36.88199299999957,-71.03215615384838,0.6614410251405802,0.3307205125702901,0.6916332367566592,0.3307205125702901,0.11538461538461542,13,10
c2_tbr_leQ25_total_time_focus_s,g2_larger,101.1636393076956,81.8982630000078,196.79224716667014,100.70210900000535,95.62860785897453,0.6832555457412299,0.6781127831556795,0.34162777287061497,0.34162777287061497,-0.10256410256410253,13,12
c1_tbr_leQ50_max_sustain_s,g2_larger,49.22401192307966,22.94178499999947,46.573515250002465,41.92528250000129,-2.6504966730771926,0.6833131587171801,0.6780808995933552,0.34165657935859006,0.34165657935859006,-0.10256410256410253,13,12
d_tbr_median,g2_smaller,0.06829658939657163,-0.005709669653515298,-0.04610178176669477,-0.0045657184241858495,-0.1143983711632664,0.6833131587171801,0.34165657935859006,0.6780808995933552,0.34165657935859006,0.10256410256410264,13,12
d_tbr_geQ67_median_sustain_s,g2_larger,-0.0520887692307863,-0.0023120000001881635,27.706263045454545,-0.0037430000002771635,27.75835181468533,0.6850689949718154,0.6784942578007245,0.3425344974859077,0.3425344974859077,-0.1048951048951049,13,11
c2_tbr_leQ50_total_time_focus_s,g2_larger,225.86260030770012,255.4110370000074,265.3333094166696,224.07090050000616,39.47070910896946,0.7236226335215661,0.658372227129385,0.36181131676078304,0.36181131676078304,-0.08974358974358976,13,12
d_tbr_geQ67_first_reach_s,g2_smaller,-0.9857871538461379,0.0,-3.532510454545468,0.0,-2.5467233006993304,0.7248907279704537,0.36244536398522686,0.6593115859744272,0.36244536398522686,0.09090909090909083,13,11
c2_tbr_leQ33_first_reach_s,g2_smaller,73.86205415384815,9.989137999999713,37.90556860000022,10.464026999999739,-35.956485553847926,0.7294069978375229,0.36470349891876147,0.6586597170278392,0.36470349891876147,0.0923076923076922,13,10
c2_tbr_leQ33_total_time_focus_s,g2_larger,134.76836700000396,118.80704700001499,214.8371985000033,134.62425900000616,80.06883149999933,0.764773633107833,0.638188683239217,0.3823868165539165,0.3823868165539165,-0.07692307692307687,13,12
c2_tbr_leQ25_prop_focus,g2_larger,0.24287742044186297,0.24102564102564103,0.37932014677077724,0.25533171178793,0.13644272632891427,0.764773633107833,0.638188683239217,0.3823868165539165,0.3823868165539165,-0.07692307692307687,13,12
c1_tbr_leQ33_total_time_focus_s,g2_larger,136.86585438461933,127.57431999999744,136.36327583333536,143.15816000000254,-0.5025785512839605,0.7648175395839272,0.6381631950841185,0.3824087697919636,0.3824087697919636,-0.07692307692307687,13,12
d_tbr_leQ25_prop_focus,g2_larger,-0.00764171802027125,-0.009397370818690604,0.1287158151241465,0.004695035785273638,0.13635753314441776,0.7648175395839272,0.6381631950841185,0.3824087697919636,0.3824087697919636,-0.07692307692307687,13,12
c2_tbr_geQ67_median_sustain_s,g2_larger,2.326929346153835,1.9986044999998853,30.164105090909004,2.974753500000091,27.837175744755168,0.7720589697507347,0.6359369359139835,0.38602948487536737,0.38602948487536737,-0.07692307692307687,13,11
c1_tbr_leQ33_max_sustain_s,g2_larger,24.487436000001143,14.909481000003098,26.448124166668038,18.95225750000006,1.9606881666668947,0.8066362801930473,0.6175912302080364,0.40331814009652367,0.40331814009652367,-0.0641025641025641,13,12
d_tbr_p25,g2_smaller,-0.01842989525393911,0.003496241448496404,-0.03336849356079765,-0.003455761953191583,-0.01493859830685854,0.8066362801930473,0.40331814009652367,0.6175912302080364,0.40331814009652367,0.0641025641025641,13,12
c2_tbr_leQ50_median_sustain_s,g2_larger,3.4519881538462367,2.990156000000127,62.65361749999979,2.4998867499999147,59.20162934615355,0.8281609739814659,0.6099075755869806,0.41408048699073297,0.41408048699073297,-0.06153846153846154,13,10
c2_tbr_leQ50_median_gap_s,g2_smaller,4.182957423077336,3.9918965000002515,3.834357000000377,3.9868565000004423,-0.34860042307695904,0.8412192411771064,0.4206096205885532,0.6053086224833714,0.4206096205885532,0.05982905982905984,13,9
c2_tbr_leQ33_prop_focus,g2_larger,0.31658248490898955,0.3128205128205128,0.41231537110556443,0.32249806119571345,0.09573288619657488,0.8489866682216102,0.5967000893767994,0.4244933341108051,0.4244933341108051,-0.05128205128205132,13,12
c2_tbr_leQ50_prop_focus,g2_larger,0.4791406291457634,0.5401709401709401,0.5059888369238628,0.4894643612521151,0.026848207778099376,0.8489866682216102,0.5967000893767994,0.4244933341108051,0.4244933341108051,-0.05128205128205132,13,12
d_tbr_leQ50_prop_focus,g2_larger,-0.02137853619314464,0.04017094017094014,0.005348766995804777,-0.010961533126079087,0.026727303188949416,0.8490153628243157,0.5966818599034763,0.42450768141215783,0.42450768141215783,-0.05128205128205132,13,12
d_tbr_leQ33_prop_focus,g2_larger,-0.013896947432123084,-0.017128725758167374,0.08201394711814232,-0.008003194831774751,0.0959108945502654,0.8490153628243157,0.5966818599034763,0.42450768141215783,0.42450768141215783,-0.05128205128205132,13,12
c1_tbr_std,g2_smaller,2.4903959427874223,0.9687974753940657,1.7133813824771087,1.2312496473644094,-0.7770145603103136,0.8490153628243157,0.42450768141215783,0.5966818599034763,0.42450768141215783,0.05128205128205132,13,12
d_tbr_leQ50_total_time_focus_s,g2_larger,-4.750887846156473,23.44602599996648,26.745529083333608,-12.939051000000688,31.49641692949008,0.8918354527466616,0.5754923185878422,0.4459177263733308,0.4459177263733308,-0.038461538461538436,13,12
c1_tbr_leQ33_mean_sustain_s,g2_larger,4.799349203072799,3.189357999999936,3.9113423514902297,4.03323538809531,-0.8880068515825692,0.8918354527466616,0.5754923185878422,0.4459177263733308,0.4459177263733308,-0.038461538461538436,13,12
